"granularity","RX_position","TX_position","total_packets","csi_packets_used","Processing_time","memory_usage(GB)","true_phi","true_theta","top_aoa_phi","top_aoa_theta","top_aoa_confidence","top_aoa_total_error","top_aoa_error_phi","top_aoa_error_theta","closest_aoa_phi","closest_aoa_theta","closest_aoa_confidence","closest_aoa_total_error","closest_aoa_phi_error","closest_theta_error"
"360x180","P5","P0",965,761.00,4.56,12.13,30.93,76.56       ,20.56,59.33,9.61,20.11,10.37,17.23,    24.57,70.39,7.44,6.36,6.36,6.17
"360x180","P5","P0",965,748.00,4.47,12.13,30.46,76.70       ,36.60,141.79,7.09,65.38,-6.14,-65.09,    30.58,83.46,5.48,-0.12,-0.12,-6.77
"360x180","P5","P0",965,723.00,4.33,12.13,30.43,76.72       ,77.72,32.18,7.37,64.96,-47.28,44.54,    53.65,86.48,5.68,-23.21,-23.21,-9.76
"360x180","P6","P0",965,759.00,4.52,11.91,96.55,74.05       ,95.77,91.51,29.02,17.47,0.78,-17.45,    95.77,91.51,29.02,0.78,0.78,-17.45
"360x180","P6","P0",965,812.00,4.88,12.65,97.17,74.05       ,95.77,89.50,24.39,15.51,1.41,-15.44,    97.77,99.55,18.88,-0.60,-0.60,-25.50
"360x180","P6","P0",965,805.00,4.83,12.66,96.64,74.03       ,95.77,89.50,26.55,15.49,0.88,-15.46,    95.77,89.50,26.55,0.88,0.88,-15.46
"360x180","P6","P0",965,813.00,4.86,12.85,96.91,74.08       ,95.77,89.50,32.08,15.46,1.14,-15.41,    97.77,73.41,24.64,-0.86,-0.86,0.68
"360x180","P6","P0",965,820.00,4.95,13.03,96.98,74.08       ,95.77,89.50,28.31,15.47,1.21,-15.42,    96.77,101.56,21.89,0.21,0.21,-27.49
"360x180","P8","P0",965,827.00,4.97,12.74,179.51,75.05       ,174.99,113.63,41.42,38.85,4.53,-38.58,    180.00,105.59,32.07,-0.49,-0.49,-30.54
"360x180","P8","P0",965,826.00,4.94,12.82,179.30,75.12       ,177.99,109.61,40.57,34.51,1.31,-34.49,    177.99,109.61,40.57,1.31,1.31,-34.49
"360x180","P8","P0",965,825.00,4.96,12.90,178.80,75.06       ,174.99,111.62,26.80,36.76,3.81,-36.56,    179.00,75.42,20.70,-0.20,-0.20,-0.36
"360x180","P8","P0",965,822.00,4.96,12.96,179.13,75.07       ,177.99,108.60,34.57,33.55,1.13,-33.53,    177.99,108.60,34.57,1.13,1.13,-33.53
"360x180","P8","P0",965,828.00,4.97,13.13,178.75,75.05       ,174.99,66.37,28.36,9.47,3.77,8.68,    180.00,105.59,21.88,-1.25,-1.25,-30.53
